OBJECTID,Australia_test2_CNTRY_NAME,Australia_test2_ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
40,Gibraltar,40,49,0.000850694,2.874818802,92.07025909,89.19544029,32.68083282,25.01023432,1601.360808
15,Glorioso Islands,15,22,0.000381944,0,0,0,0,0,0
44,Greece,44,779774,13.53774327,0,194.177948,194.177948,0.962451211,5.113315335,750494.4303
42,Greenland,42,17478566,303.4473312,0,54.01887894,54.01887894,0.000416743,0.078312223,7284.067646
18,Grenada,18,1658,0.028784723,0,14.7940836,14.7940836,1.122026331,1.719587898,1860.319657
19,Guadeloupe,19,8030,0.139409724,0,87.67337799,87.67337799,2.629783932,5.903271787,21117.16497
11,Guam,11,2772,0.048125001,0,103.1076813,103.1076813,4.565020799,7.861103017,12654.23766
20,Guatemala,20,529536,9.19333348,0,284.2102051,284.2102051,0.260084586,2.373419596,137724.1511
41,Guernsey,41,522,0.0090625,0,19.38081551,19.38081551,1.014714754,2.455920338,529.6811016
45,Guinea,45,1165620,20.23645866,0,37.23861313,37.23861313,0.008272476,0.235621483,9642.563732
87,Guinea-Bissau,87,158584,2.753194488,0,15.08705997,15.08705997,0.006402698,0.186821571,1015.365404
21,Guyana,21,138765,2.409114622,0,0.637179434,0.637179434,0.000121855,0.006096913,16.90914696
46,Guyana,46,850524,14.7660419,0,46.78173065,46.78173065,0.012854521,0.348173466,10933.07881
22,Haiti,22,134166,2.329270871,0,42.75951767,42.75951767,0.088671055,0.802812991,11896.64074
7,Heard Island & McDonald Islands,7,3092,0.053680556,0,0,0,0,0,0
23,Honduras,23,542648,9.420972373,0,78.16103363,78.16103363,0.224369136,1.770112357,121753.4629
24,Howland Island,24,13,0.000225694,0,0,0,0,0,0
49,Hungary,49,635536,11.03361129,0,151.2136383,151.2136383,0.593104076,3.235752779,376938.9921
50,Iceland,50,1127407,19.57303851,0,1134.029297,1134.029297,0.172987569,4.675600793,195027.396
13,India,13,16052298,278.6857336,0,1894.064453,1894.064453,0.545528802,2.877676914,8756990.901
8,Indonesia,8,6524291,113.2689428,-0.086829863,1340.449219,1340.536049,0.182032153,2.184569284,1187630.738
12,Indonesia,12,2359869,40.96994857,0,391.8515625,391.8515625,0.097292957,1.474061981,229598.6341
52,Iran,52,8011490,139.0883703,0,26358.48828,26358.48828,0.611850191,26.55796436,4901831.687
14,Iran,14,982279,17.05345513,0,2516.486816,2516.486816,0.154668465,3.183788963,151927.5848
56,Iraq,56,2427364,42.14173679,0,92682.27344,92682.27344,1.560685555,116.4625723,3788351.931
26,Ireland,26,539131,9.359913344,0,185.2839355,185.2839355,0.569843391,3.650459996,307220.2374
53,Israel,53,113079,1.963177115,0,287.5299072,287.5299072,6.411551454,16.87480331,725011.8268
54,Italy,54,1903452,33.0460422,0,1013.02478,1013.02478,2.764280947,8.346342174,5261676.097
55,Ivory Coast,55,1517190,26.34010459,0,66.24705505,66.24705505,0.077936088,0.989964545,118243.853
25,Jamaica,25,54267,0.942135432,0,88.69498444,88.69498444,1.102537965,3.418804182,59831.42773
58,Jan Mayen,58,6701,0.116336807,0,0,0,0,0,0
15,Japan,15,2185504,37.94277838,0,529.2745972,529.2745972,1.24170934,5.160186197,2713760.73
9,Jarvis Island,9,40,0.000694444,0,0,0,0,0,0
57,Jersey,57,884,0.015347222,0,40.58540726,40.58540726,1.254707715,3.46748218,1109.16162
26,Johnston Atoll,26,4,6.94444E-05,0,0,0,0,0,0
59,Jordan,59,486670,8.44913208,0,213.1257324,213.1257324,0.72195273,4.291370242,351352.7349
16,Juan De Nova Island,16,28,0.000486111,0,0,0,0,0,0
62,Kazakhstan,62,4524776,78.55514015,0,38653.70313,38653.70313,0.152140341,32.31025079,688400.9641
19,Kazakhstan,19,14465666,251.1400387,0,4477.984375,4477.984375,0.071453174,3.172792681,1033617.753
60,Kenya,60,1565242,27.17434071,0,65.86406708,65.86406708,0.006113972,0.186391713,9569.846169
17,Kenya,17,1159759,20.13470518,0,126.4333115,126.4333115,0.073997907,1.136980196,85819.73899
27,Kiribati,27,1961,0.034045139,0,2.389667511,2.389667511,0.008062505,0.099891097,15.81057246
61,Kuwait,61,89575,1.555121553,0,1506.608398,1506.608398,6.477970484,22.17812237,580264.2061
16,Kyrgyzstan,16,1239053,21.51133715,0,111.6884308,111.6884308,0.086894406,0.954665035,107666.7747
20,Laos,20,1133582,19.68024337,0,88.16401672,88.16401672,0.035764338,0.597783718,40541.81025
64,Latvia,64,548122,9.516007097,0,636.7694702,636.7694702,0.198392972,2.734531063,108743.5527
63,Lebanon,63,57358,0.995798627,0,193.4065094,193.4065094,3.345021255,8.01380984,191863.7291
18,Lesotho,18,163674,2.841562545,0,35.82676697,35.82676697,0.054839968,0.628223129,8975.876876
66,Liberia,66,452095,7.848871653,0,34.83026886,34.83026886,0.005808784,0.153316942,2626.122427
70,Libya,70,8487537,147.3530753,0,5353.823242,5353.823242,0.101884373,2.762550293,864747.3847
68,Liechtenstein,68,1213,0.021059028,0,35.81990051,35.81990051,1.489255985,3.309831867,1806.46751
65,Lithuania,65,530103,9.203177231,0,106.2751007,106.2751007,0.217379396,2.154710694,115233.4701
69,Luxembourg,69,18554,0.322118061,0,106.0491104,106.0491104,2.73941233,7.331310799,50827.05637
21,Macau,21,21,0.000364583,50.40001297,308.3692627,257.9692497,100.2369276,67.51977231,2104.975479
72,Macedonia,72,158388,2.749791711,0,261.0918579,261.0918579,0.516418139,3.638559316,81794.43623
19,Madagascar,19,2941606,51.06954943,-0.00723272,118.0517578,118.0589905,0.003833405,0.19596454,11276.36835
21,Malawi,21,569426,9.885868214,-0.007222325,64.76374054,64.77096286,0.04843978,0.628043722,27582.87021
24,Malaysia,24,1541007,26.75359418,0,837.463562,837.463562,0.702557279,4.516665294,1082645.685
12,Maldives,12,34,0.000590278,0,9.587492943,9.587492943,1.49492568,2.212281722,50.8274731
23,Maldives,23,124,0.002152778,0,28.35398674,28.35398674,0.87105284,4.03503045,108.0105521
73,Mali,73,6142898,106.6475364,0,44.37782288,44.37782288,0.004606992,0.21186918,28300.28308
77,Malta,77,1689,0.029322917,0,200.4633179,200.4633179,16.32591148,20.89355952,27574.46448
51,"Man, Isle of",51,4910,0.085243057,0,60.10040665,60.10040665,0.650011119,3.724831737,3191.554592
30,Marshall Islands,30,149,0.002586806,0,10.80621719,10.80621719,0.300730546,1.339149714,44.80885133
28,Martinique,28,5541,0.096197918,0,93.03388214,93.03388214,3.843863123,7.255112152,21298.84556
76,Mauritania,76,5179019,89.91352574,0,80.87123871,80.87123871,0.003453403,0.212691779,17885.24226
11,Mauritius,11,559,0.009704861,0,8.043584824,8.043584824,0.449311844,0.781490624,251.1653208
22,Mauritius,22,10123,0.175746531,0,80.96912384,80.96912384,1.557566706,4.232976107,15767.24777
20,Mayotte,20,2087,0.036232639,0,32.98511124,32.98511124,0.937515265,2.373372009,1956.594359
31,Mexico,31,10028880,174.1125028,0,13023.6875,13023.6875,0.416154918,8.007938957,4173567.731
30,Midway Islands,30,43,0.000746528,0,0,0,0,0,0
71,Moldova,71,230332,3.998819508,0,69.38207245,69.38207245,0.163391853,1.362236249,37634.37235
74,Monaco,74,60,0.001041667,0,119.120697,119.120697,16.86076499,23.0467341,1011.645899
22,Mongolia,22,10623270,184.4317738,0,260.2662354,260.2662354,0.007065128,0.410344911,75054.75905
79,Montenegro,79,87432,1.517916691,0,125.1701202,125.1701202,0.535124407,3.654106607,46786.99711
29,Montserrat,29,549,0.00953125,0,2.658108473,2.658108473,0.157310948,0.396643466,86.36371028
75,Morocco,75,2215699,38.46699714,0,255.078537,255.078537,0.378462387,3.792199616,838558.7326
23,Mozambique,23,3857676,66.97354274,-0.003936003,136.4833527,136.4872887,0.02509385,0.632779621,96803.9431
3,Myanmar (Burma),3,3347704,58.11986204,0,249.6051331,249.6051331,0.040091652,0.662935695,134214.9842
35,Namibia,35,4159470,72.21302199,-0.027176986,81.4697113,81.49688829,0.01094858,0.414470703,45540.29027
16,Nauru,16,127,0.002204861,0,31.23516464,31.23516464,2.960441629,4.387999854,375.9760868
25,Nepal,25,779579,13.53435786,0,28.16272736,28.16272736,0.043666023,0.275559597,34041.11454
82,Netherlands,82,269597,4.680503547,0,16411.10547,16411.10547,5.941857841,82.21314627,1601907.048
